Standard & Poors 500 Index,Last: 3856.28,Change:  1.85,,,,,,,,,,,,,,,,,,,
"Date: July 12, 2022, 11:55 AM EDT",Bid: 3855.3701,Ask: 3857.1599,Size: 1*1,Volume: 0,,,,,,,,,,,,,,,,,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Tue Jul 12 2022,SPXW220712C02900000,0,0,955.8,957.5,0,0,0.9996,0,0,2900,SPXW220712P02900000,0.05,0,0,0.05,0,3.8022,-0.0004,0,130
Tue Jul 12 2022,SPXW220712C03000000,0,0,855.8,857.5,0,0,0.9996,0,0,3000,SPXW220712P03000000,0.06,0,0,0.05,0,3.3759,-0.0004,0,385
Tue Jul 12 2022,SPXW220712C03050000,0,0,805.8,807.5,0,0,0.9995,0,0,3050,SPXW220712P03050000,0.05,0,0,0.05,0,3.1672,-0.0005,0,2
Tue Jul 12 2022,SPXW220712C03100000,0,0,755.8,757.5,0,0,0.9995,0,0,3100,SPXW220712P03100000,0.05,0,0,0.05,0,2.9611,-0.0005,0,26
Tue Jul 12 2022,SPXW220712C03150000,0,0,705.8,707.5,0,0,0.9994,0,0,3150,SPXW220712P03150000,0.05,0,0,0.05,0,2.7577,-0.0006,0,1162
Tue Jul 12 2022,SPXW220712C03200000,0,0,655.8,657.5,0,0,0.9994,0,0,3200,SPXW220712P03200000,0.05,0,0,0.05,0,2.5567,-0.0006,0,6163
Tue Jul 12 2022,SPXW220712C03250000,0,0,605.8,607.5,0,0,0.9993,0,0,3250,SPXW220712P03250000,0.25,0,0,0.05,0,2.3579,-0.0007,0,3315
Tue Jul 12 2022,SPXW220712C03275000,0,0,580.8,582.5,0,0,0.9993,0,0,3275,SPXW220712P03275000,0,0,0,0.05,0,2.2594,-0.0007,0,0
Tue Jul 12 2022,SPXW220712C03300000,0,0,555.8,557.5,0,0,0.9992,0,0,3300,SPXW220712P03300000,0.05,0,0,0.05,0,2.1613,-0.0008,0,129
Tue Jul 12 2022,SPXW220712C03325000,0,0,530.8,532.5,0,0,0.9992,0,0,3325,SPXW220712P03325000,0,0,0,0.05,0,2.0637,-0.0008,0,0
Tue Jul 12 2022,SPXW220712C03350000,513.89,0,505.8,507.5,0,0,0.9991,0,10,3350,SPXW220712P03350000,0.05,0,0,0.05,0,1.9666,-0.0009,0,3472
Tue Jul 12 2022,SPXW220712C03375000,0,0,480.8,482.5,0,0,0.9991,0,0,3375,SPXW220712P03375000,0,0,0,0.05,0,1.8699,-0.0009,0,0
Tue Jul 12 2022,SPXW220712C03400000,0,0,455.8,457.5,0,0,0.999,0,0,3400,SPXW220712P03400000,0.05,0.025,0,0.05,1,1.7736,-0.001,0,10592
Tue Jul 12 2022,SPXW220712C03425000,0,0,430.8,432.2,0,0,0.999,0,0,3425,SPXW220712P03425000,0,0,0,0.05,0,1.6778,-0.001,0,0
Tue Jul 12 2022,SPXW220712C03450000,0,0,405.8,407.5,0,0,0.9989,0,0,3450,SPXW220712P03450000,0.05,0.025,0,0.05,1,1.5822,-0.0011,0,2513
Tue Jul 12 2022,SPXW220712C03475000,0,0,380.8,382.2,0,0,0.9988,0,0,3475,SPXW220712P03475000,0,0,0,0.05,0,1.487,-0.0012,0,0
Tue Jul 12 2022,SPXW220712C03500000,0,0,355.8,357.5,0,0,0.9987,0,0,3500,SPXW220712P03500000,0.05,0,0,0.05,0,1.3922,-0.0013,0,1414
Tue Jul 12 2022,SPXW220712C03525000,0,0,330.8,332.2,0,0,0.9986,0,0,3525,SPXW220712P03525000,0.05,0,0,0.05,0,1.2975,-0.0014,0,1101
Tue Jul 12 2022,SPXW220712C03550000,0,0,305.8,307.5,0,0,0.9985,0,0,3550,SPXW220712P03550000,0.05,0,0,0.05,0,1.2031,-0.0015,0,1646
Tue Jul 12 2022,SPXW220712C03560000,0,0,295.8,297.5,0,0,0.9985,0,0,3560,SPXW220712P03560000,0.05,0,0,0.05,0,1.1654,-0.0015,0,55
Tue Jul 12 2022,SPXW220712C03570000,0,0,285.8,287.5,0,0,0.9984,0,0,3570,SPXW220712P03570000,0.05,0,0,0.05,0,1.1277,-0.0016,0,27
Tue Jul 12 2022,SPXW220712C03575000,0,0,280.8,282.2,0,0,0.9984,0,0,3575,SPXW220712P03575000,0.05,-0.025,0,0.05,2,1.1089,-0.0016,0,3769
Tue Jul 12 2022,SPXW220712C03580000,0,0,275.8,277.5,0,0,0.9984,0,0,3580,SPXW220712P03580000,0.05,0,0,0.05,0,1.09,-0.0016,0,209
Tue Jul 12 2022,SPXW220712C03590000,0,0,265.8,267.5,0,0,0.9983,0.0001,0,3590,SPXW220712P03590000,0.05,0,0,0.05,0,1.0523,-0.0017,0.0001,87
Tue Jul 12 2022,SPXW220712C03600000,0,0,255.8,257.5,0,0,0.9982,0.0001,0,3600,SPXW220712P03600000,0.05,-0.025,0,0.05,38,1.0147,-0.0018,0.0001,996
Tue Jul 12 2022,SPXW220712C03610000,0,0,245.8,247.5,0,0,0.9982,0.0001,0,3610,SPXW220712P03610000,0.05,0,0,0.05,36,0.977,-0.0018,0.0001,357
Tue Jul 12 2022,SPXW220712C03620000,0,0,235.8,237.5,0,0,0.9981,0.0001,0,3620,SPXW220712P03620000,0.07,0,0,0.05,0,0.9394,-0.0019,0.0001,15
Tue Jul 12 2022,SPXW220712C03625000,0,0,230.8,232.5,0,0,0.998,0.0001,0,3625,SPXW220712P03625000,0.07,0,0,0.05,0,0.9206,-0.002,0.0001,232
Tue Jul 12 2022,SPXW220712C03630000,0,0,225.8,227.5,0,0,0.998,0.0001,0,3630,SPXW220712P03630000,0.05,0,0,0.05,0,0.9017,-0.002,0.0001,170
Tue Jul 12 2022,SPXW220712C03640000,0,0,215.8,217.5,0,0,0.9979,0.0001,0,3640,SPXW220712P03640000,0.05,-0.025,0,0.05,9,0.8641,-0.0021,0.0001,114
Tue Jul 12 2022,SPXW220712C03645000,0,0,210.8,212.5,0,0,0.9979,0.0001,0,3645,SPXW220712P03645000,0.12,0,0,0.05,0,0.8452,-0.0021,0.0001,106
Tue Jul 12 2022,SPXW220712C03650000,0,0,205.8,207.5,0,0,0.9978,0.0001,0,3650,SPXW220712P03650000,0.05,-0.025,0,0.05,56,0.8264,-0.0022,0.0001,7969
Tue Jul 12 2022,SPXW220712C03655000,0,0,200.8,202.5,0,0,0.9978,0.0001,0,3655,SPXW220712P03655000,0.05,-0.025,0,0.05,2,0.8075,-0.0022,0.0001,121
Tue Jul 12 2022,SPXW220712C03660000,170.42,0,195.8,197.5,0,0,0.9977,0.0001,14,3660,SPXW220712P03660000,0.05,-0.025,0,0.05,252,0.7887,-0.0023,0.0001,973
Tue Jul 12 2022,SPXW220712C03665000,0,0,190.8,192.5,0,0,0.9977,0.0001,0,3665,SPXW220712P03665000,0.05,-0.05,0,0.05,12,0.7698,-0.0023,0.0001,94
Tue Jul 12 2022,SPXW220712C03670000,169.37,-11.63,185.8,187.5,2,0,0.9976,0.0001,16,3670,SPXW220712P03670000,0.05,-0.05,0,0.05,32,0.751,-0.0024,0.0001,122
Tue Jul 12 2022,SPXW220712C03675000,186.27,10.22,180.8,182.5,30,0,0.9975,0.0001,30,3675,SPXW220712P03675000,0.05,-0.075,0,0.05,204,0.7321,-0.0025,0.0001,844
Tue Jul 12 2022,SPXW220712C03680000,185.15,0,175.8,177.5,0,0,0.9975,0.0001,16,3680,SPXW220712P03680000,0.05,-0.05,0,0.05,87,0.7132,-0.0025,0.0001,198
Tue Jul 12 2022,SPXW220712C03685000,0,0,170.8,172.3,0,0,0.9974,0.0001,0,3685,SPXW220712P03685000,0.05,-0.05,0,0.05,213,0.6943,-0.0026,0.0001,144
Tue Jul 12 2022,SPXW220712C03690000,0,0,165.8,167.3,0,0,0.9973,0.0001,0,3690,SPXW220712P03690000,0.05,-0.05,0,0.05,812,0.6754,-0.0027,0.0001,266
Tue Jul 12 2022,SPXW220712C03695000,197.08,0,160.8,162.3,0,0,0.9973,0.0001,3,3695,SPXW220712P03695000,0.05,-0.05,0,0.05,257,0.6564,-0.0027,0.0001,157
Tue Jul 12 2022,SPXW220712C03700000,153.2,2.1,155.8,157.3,3,0,0.9972,0.0001,13,3700,SPXW220712P03700000,0.05,-0.075,0,0.05,1216,0.6375,-0.0028,0.0001,2100
Tue Jul 12 2022,SPXW220712C03705000,101,0,151.2,152.5,0,0,0.9971,0.0002,21,3705,SPXW220712P03705000,0.05,-0.1,0,0.05,139,0.6185,-0.0029,0.0002,130
Tue Jul 12 2022,SPXW220712C03710000,99,0,146.2,147.5,0,0,0.997,0.0002,2,3710,SPXW220712P03710000,0.05,-0.1,0,0.05,237,0.5995,-0.003,0.0002,434
Tue Jul 12 2022,SPXW220712C03715000,132.63,-3.47,141.2,142.5,1,0,0.9969,0.0002,5,3715,SPXW220712P03715000,0.05,-0.125,0,0.05,25,0.5805,-0.0031,0.0002,126
Tue Jul 12 2022,SPXW220712C03720000,127.66,-3.39,136.2,137.5,1,0,0.9968,0.0002,2,3720,SPXW220712P03720000,0.05,-0.15,0,0.05,297,0.5615,-0.0032,0.0002,481
Tue Jul 12 2022,SPXW220712C03725000,98.7,0,131.2,132.5,0,0,0.9967,0.0002,2,3725,SPXW220712P03725000,0.05,-0.15,0,0.05,691,0.5424,-0.0033,0.0002,695
Tue Jul 12 2022,SPXW220712C03730000,154.26,0,126.2,127.5,0,0,0.9965,0.0002,12,3730,SPXW220712P03730000,0.05,-0.175,0,0.05,624,0.5234,-0.0035,0.0002,719
Tue Jul 12 2022,SPXW220712C03735000,114.7,-1.45,121.2,122.5,2,0,0.9964,0.0002,24,3735,SPXW220712P03735000,0.05,-0.2,0,0.1,619,0.539,-0.0036,0.0002,3121
Tue Jul 12 2022,SPXW220712C03740000,111.41,0,116.3,117.5,0,0,0.9962,0.0002,16,3740,SPXW220712P03740000,0.1,-0.2,0,0.1,1301,0.5188,-0.0038,0.0002,606
Tue Jul 12 2022,SPXW220712C03745000,116.93,10.63,111.3,112.5,11,0,0.996,0.0003,52,3745,SPXW220712P03745000,0.07,-0.28,0.05,0.1,861,0.5204,-0.004,0.0003,418
Tue Jul 12 2022,SPXW220712C03750000,109.1,0,106.3,107.5,0,0,0.9957,0.0003,112,3750,SPXW220712P03750000,0.07,-0.355,0.05,0.1,2945,0.4994,-0.0043,0.0003,1793
Tue Jul 12 2022,SPXW220712C03755000,106.27,9.77,101.3,102.6,41,0,0.9954,0.0003,40,3755,SPXW220712P03755000,0.05,-0.45,0.05,0.1,1471,0.4782,-0.0046,0.0003,338
Tue Jul 12 2022,SPXW220712C03760000,92.32,0.72,96.3,97.6,35,0,0.9949,0.0004,49,3760,SPXW220712P03760000,0.1,-0.525,0.05,0.1,2704,0.457,-0.0051,0.0004,463
Tue Jul 12 2022,SPXW220712C03765000,77.05,-9.6,91.3,92.6,1,0,0.9943,0.0004,52,3765,SPXW220712P03765000,0.07,-0.68,0.05,0.15,3225,0.4506,-0.0057,0.0004,825
Tue Jul 12 2022,SPXW220712C03770000,80.58,-1.32,86.3,87.6,37,0,0.9934,0.0005,44,3770,SPXW220712P03770000,0.11,-0.84,0.05,0.15,4243,0.4287,-0.0066,0.0005,1253
Tue Jul 12 2022,SPXW220712C03775000,83.31,6.16,81.3,82.6,2,0,0.9922,0.0006,59,3775,SPXW220712P03775000,0.12,-1.08,0.1,0.15,4994,0.4182,-0.0078,0.0006,909
Tue Jul 12 2022,SPXW220712C03780000,83.14,10.69,76.3,77.6,58,0,0.9904,0.0008,329,3780,SPXW220712P03780000,0.19,-1.26,0.1,0.2,7128,0.4051,-0.0096,0.0008,959
Tue Jul 12 2022,SPXW220712C03785000,77.65,9.9,71.4,72.7,11,0.2745,0.9878,0.001,16,3785,SPXW220712P03785000,0.17,-1.655,0.15,0.2,4900,0.3901,-0.0122,0.001,461
Tue Jul 12 2022,SPXW220712C03790000,73.19,9.94,66.4,67.7,63,0.3172,0.9841,0.0013,345,3790,SPXW220712P03790000,0.22,-2.03,0.2,0.25,8332,0.3801,-0.0159,0.0013,872
Tue Jul 12 2022,SPXW220712C03795000,65.64,6.89,61.4,62.8,19,0.2959,0.979,0.0016,53,3795,SPXW220712P03795000,0.27,-2.505,0.25,0.3,7836,0.3668,-0.021,0.0016,613
Tue Jul 12 2022,SPXW220712C03800000,63.65,9.05,56.5,57.9,105,0.3264,0.972,0.0021,289,3800,SPXW220712P03800000,0.4,-3,0.3,0.4,29978,0.3553,-0.028,0.0021,2003
Tue Jul 12 2022,SPXW220712C03805000,51.49,1.29,51.6,52.9,67,0.3123,0.9625,0.0028,477,3805,SPXW220712P03805000,0.42,-3.78,0.4,0.45,7100,0.3442,-0.0375,0.0028,386
Tue Jul 12 2022,SPXW220712C03810000,46.95,0.9,47,47.9,156,0.3175,0.9497,0.0036,93,3810,SPXW220712P03810000,0.65,-4.45,0.55,0.65,8792,0.335,-0.0503,0.0036,623
Tue Jul 12 2022,SPXW220712C03815000,42.46,0.46,42,43.3,44,0.3119,0.9327,0.0046,138,3815,SPXW220712P03815000,0.85,-5.25,0.75,0.85,5114,0.3257,-0.0673,0.0046,586
Tue Jul 12 2022,SPXW220712C03820000,40.52,2.22,37.3,38.6,222,0.3078,0.9105,0.0058,168,3820,SPXW220712P03820000,1.2,-6.1,1.05,1.15,13344,0.3206,-0.0895,0.0058,610
Tue Jul 12 2022,SPXW220712C03825000,33.27,-1.33,32.8,34,479,0.3058,0.8818,0.0073,925,3825,SPXW220712P03825000,1.55,-7.1,1.5,1.6,8727,0.3145,-0.1182,0.0073,829
Tue Jul 12 2022,SPXW220712C03830000,28.9,-2.2,28.4,29.6,582,0.3053,0.8454,0.0089,107,3830,SPXW220712P03830000,2.15,-8.05,2.05,2.15,11252,0.3112,-0.1546,0.0089,602
Tue Jul 12 2022,SPXW220712C03835000,24.78,-2.97,24.2,25.3,658,0.2976,0.8003,0.0107,150,3835,SPXW220712P03835000,2.95,-8.95,2.9,3,6634,0.3057,-0.1997,0.0107,307
Tue Jul 12 2022,SPXW220712C03840000,23.02,-1.63,20.3,21.3,1710,0.2949,0.7459,0.0125,72,3840,SPXW220712P03840000,3.9,-9.9,3.9,4.1,7192,0.3019,-0.2541,0.0125,386
Tue Jul 12 2022,SPXW220712C03845000,15.6,-6.15,17,17.3,2194,0.2938,0.6821,0.0141,63,3845,SPXW220712P03845000,5.3,-10.55,5.2,5.4,5283,0.2985,-0.3179,0.0141,183
Tue Jul 12 2022,SPXW220712C03850000,13.52,-5.53,13.5,14.1,8593,0.2898,0.6101,0.0154,291,3850,SPXW220712P03850000,7,-11.1,6.8,7.1,12266,0.2942,-0.3899,0.0154,1002
Tue Jul 12 2022,SPXW220712C03855000,10.7,-5.8,10.6,10.9,4105,0.2882,0.5319,0.0161,1409,3855,SPXW220712P03855000,9.2,-11.45,8.9,9.2,3290,0.2909,-0.4681,0.0161,358
Tue Jul 12 2022,SPXW220712C03860000,8.3,-5.9,8.1,8.4,7303,0.2836,0.4506,0.0162,1475,3860,SPXW220712P03860000,11.4,-11.9,11.3,11.6,4354,0.2893,-0.5494,0.0162,453
Tue Jul 12 2022,SPXW220712C03865000,6,-6.1,6,6.3,5970,0.2818,0.3698,0.0156,365,3865,SPXW220712P03865000,15.19,-11.01,14.1,14.6,1963,0.2862,-0.6302,0.0156,197
Tue Jul 12 2022,SPXW220712C03870000,4.4,-5.8,4.3,4.5,9731,0.2802,0.2931,0.0144,300,3870,SPXW220712P03870000,18.1,-11.3,17.4,17.9,1379,0.285,-0.7069,0.0144,460
Tue Jul 12 2022,SPXW220712C03875000,3,-5.55,3,3.2,8135,0.2779,0.224,0.0126,2123,3875,SPXW220712P03875000,23,-9.65,20.7,21.8,974,0.2835,-0.776,0.0126,608
Tue Jul 12 2022,SPXW220712C03880000,2,-5.1,2,2.1,13679,0.2754,0.1647,0.0105,742,3880,SPXW220712P03880000,25.9,-10.3,24.6,25.8,449,0.2832,-0.8353,0.0105,398
Tue Jul 12 2022,SPXW220712C03885000,1.3,-4.5,1.25,1.35,7005,0.274,0.1165,0.0084,578,3885,SPXW220712P03885000,24.8,-15.1,28.9,30.1,195,0.2824,-0.8835,0.0084,179
Tue Jul 12 2022,SPXW220712C03890000,0.8,-3.9,0.8,0.85,11622,0.2712,0.0795,0.0063,1008,3890,SPXW220712P03890000,29.8,-13.95,33.3,34.6,462,0.2803,-0.9205,0.0063,532
Tue Jul 12 2022,SPXW220712C03895000,0.5,-3.3,0.5,0.55,7521,0.2706,0.0526,0.0046,453,3895,SPXW220712P03895000,31.69,-16.16,38,39.3,41,0.2854,-0.9474,0.0046,79
Tue Jul 12 2022,SPXW220712C03900000,0.35,-2.7,0.3,0.35,24472,0.2753,0.0341,0.0032,2859,3900,SPXW220712P03900000,43.95,-8.15,43,43.9,229,0.2917,-0.9659,0.0032,598
Tue Jul 12 2022,SPXW220712C03905000,0.2,-2.2,0.15,0.25,7582,0.2781,0.0221,0.0022,485,3905,SPXW220712P03905000,45.45,-11,47.7,49,22,0.3043,-0.9779,0.0022,293
Tue Jul 12 2022,SPXW220712C03910000,0.15,-1.75,0.1,0.2,16781,0.2896,0.0146,0.0015,1044,3910,SPXW220712P03910000,53.12,-7.83,52.6,53.9,76,0.3214,-0.9854,0.0015,256
Tue Jul 12 2022,SPXW220712C03915000,0.1,-1.35,0.1,0.15,6919,0.3048,0.01,0.0011,625,3915,SPXW220712P03915000,57.11,-8.44,57.6,58.9,63,0.3362,-0.99,0.0011,137
Tue Jul 12 2022,SPXW220712C03920000,0.07,-1.055,0.05,0.1,15260,0.3065,0.0072,0.0008,1245,3920,SPXW220712P03920000,59.9,-10.3,62.6,63.9,22,0.3602,-0.9928,0.0008,408
Tue Jul 12 2022,SPXW220712C03925000,0.07,-0.805,0.05,0.1,5439,0.3276,0.0054,0.0006,1507,3925,SPXW220712P03925000,79,4.1,67.5,68.8,47,0.384,-0.9946,0.0006,57
Tue Jul 12 2022,SPXW220712C03930000,0.07,-0.63,0,0.1,7219,0.3327,0.0043,0.0005,767,3930,SPXW220712P03930000,70.98,-8.72,72.5,73.8,5,0.4076,-0.9957,0.0005,359
Tue Jul 12 2022,SPXW220712C03935000,0.05,-0.475,0,0.1,4240,0.3283,0.0036,0.0004,748,3935,SPXW220712P03935000,81.41,-3.14,77.5,78.8,4,0.4006,-0.9964,0.0004,29
Tue Jul 12 2022,SPXW220712C03940000,0.05,-0.35,0,0.05,5727,0.347,0.0032,0.0003,889,3940,SPXW220712P03940000,90.05,0.65,82.5,83.8,4,0.4226,-0.9968,0.0003,24
Tue Jul 12 2022,SPXW220712C03945000,0.05,-0.275,0,0.05,3105,0.3656,0.0028,0.0003,1565,3945,SPXW220712P03945000,91.92,0,87.5,88.8,0,0.4443,-0.9972,0.0003,9
Tue Jul 12 2022,SPXW220712C03950000,0.05,-0.2,0,0.05,2288,0.384,0.0026,0.0002,2796,3950,SPXW220712P03950000,98.3,-1,92.5,93.8,3,0.4659,-0.9974,0.0002,38
Tue Jul 12 2022,SPXW220712C03955000,0.05,-0.125,0,0.05,767,0.4024,0.0024,0.0002,1202,3955,SPXW220712P03955000,105.83,1.63,97.5,98.8,6,0.4874,-0.9976,0.0002,7
Tue Jul 12 2022,SPXW220712C03960000,0.05,-0.1,0,0.05,813,0.4207,0.0023,0.0002,1241,3960,SPXW220712P03960000,106.35,0,102.5,103.8,0,0.5088,-0.9977,0.0002,9
Tue Jul 12 2022,SPXW220712C03965000,0.05,-0.075,0,0.05,356,0.4389,0.0022,0.0002,1373,3965,SPXW220712P03965000,115.32,1.22,107.5,108.8,1,0.53,-0.9978,0.0002,6
Tue Jul 12 2022,SPXW220712C03970000,0.05,-0.025,0,0.05,149,0.457,0.0021,0.0002,1916,3970,SPXW220712P03970000,103.7,-15.4,112.5,113.8,2,0.551,-0.9979,0.0002,16
Tue Jul 12 2022,SPXW220712C03975000,0.05,-0.025,0,0.05,237,0.475,0.002,0.0002,752,3975,SPXW220712P03975000,117.01,0,117.5,118.8,0,0.572,-0.998,0.0002,23
Tue Jul 12 2022,SPXW220712C03980000,0.05,0.025,0,0.05,45,0.4929,0.002,0.0001,852,3980,SPXW220712P03980000,102.39,0,122.5,123.8,0,0.5929,-0.998,0.0001,13
Tue Jul 12 2022,SPXW220712C03990000,0.05,0,0,0.05,30,0.5285,0.0018,0.0001,482,3990,SPXW220712P03990000,110.47,0,132.5,133.8,0,0.6342,-0.9982,0.0001,19
Tue Jul 12 2022,SPXW220712C04000000,0.05,0.025,0,0.05,118,0.5638,0.0017,0.0001,1871,4000,SPXW220712P04000000,135.99,-13.06,142.5,143.8,7,0.6752,-0.9983,0.0001,24
Tue Jul 12 2022,SPXW220712C04010000,0.05,0.025,0,0.05,66,0.5989,0.0016,0.0001,771,4010,SPXW220712P04010000,146.01,-13.04,152.5,153.8,3,0.7158,-0.9984,0.0001,1
Tue Jul 12 2022,SPXW220712C04025000,0.05,0.025,0,0.05,17,0.6509,0.0015,0.0001,710,4025,SPXW220712P04025000,0,0,167.5,169.2,0,0.7761,-0.9985,0.0001,0
Tue Jul 12 2022,SPXW220712C04050000,0.05,0.025,0,0.05,1,0.7366,0.0013,0.0001,1006,4050,SPXW220712P04050000,204.74,5.69,192.8,194.2,24,0.875,-0.9987,0.0001,25
Tue Jul 12 2022,SPXW220712C04075000,0,0,0,0.05,0,0.8208,0.0012,0.0001,0,4075,SPXW220712P04075000,0,0,217.8,219.2,0,0.9722,-0.9988,0.0001,0
Tue Jul 12 2022,SPXW220712C04100000,0.05,0.025,0,0.05,12,0.9039,0.0011,0,921,4100,SPXW220712P04100000,254.99,5.99,242.5,244.2,23,1.0677,-0.9989,0,25
Tue Jul 12 2022,SPXW220712C04125000,0.05,0.05,0,0.05,12,0.9859,0.001,0,0,4125,SPXW220712P04125000,0,0,267.5,269.2,0,1.1618,-0.999,0,0
Tue Jul 12 2022,SPXW220712C04200000,0.05,0,0,0.05,0,1.2257,0.0008,0,1138,4200,SPXW220712P04200000,0,0,342.5,344.2,0,1.4366,-0.9992,0,0
Tue Jul 12 2022,SPXW220712C04300000,0.05,0,0,0.05,0,1.5334,0.0006,0,26,4300,SPXW220712P04300000,0,0,442.5,444.2,0,1.7878,-0.9994,0,0
Tue Jul 12 2022,SPXW220712C04400000,0.05,0,0,0.05,0,1.8293,0.0005,0,9,4400,SPXW220712P04400000,543.41,0,542.5,544.2,0,2.1246,-0.9995,0,5
Tue Jul 12 2022,SPXW220712C04600000,0.05,0,0,0.05,0,2.3912,0.0004,0,3,4600,SPXW220712P04600000,0,0,742.5,744.2,0,2.7626,-0.9996,0,0
Tue Jul 12 2022,SPXW220712C04800000,0,0,0,0.05,0,2.9195,0.0003,0,0,4800,SPXW220712P04800000,947.92,0,942.5,944.2,0,3.3607,-0.9997,0,7
Tue Jul 12 2022,SPXW220712C05000000,0,0,0,0.05,0,3.4191,0.0003,0,0,5000,SPXW220712P05000000,0,0,1142.5,1144.2,0,3.9254,-0.9997,0,0
Wed Jul 13 2022,SPXW220713C01000000,0,0,2855.8,2857.4,0,7.0974,0.9998,0,0,1000,SPXW220713P01000000,0.05,0,0,0.05,0,6.5955,0,0,406
Wed Jul 13 2022,SPXW220713C01200000,0,0,2655.8,2657.4,0,6.0668,0.9998,0,0,1200,SPXW220713P01200000,0.05,0,0,0.05,0,5.7224,0,0,154
Wed Jul 13 2022,SPXW220713C01400000,0,0,2455.8,2457.4,0,5.1878,0.9998,0,0,1400,SPXW220713P01400000,0.05,0,0,0.05,0,4.986,0,0,2
Wed Jul 13 2022,SPXW220713C01600000,0,0,2255.8,2257.4,0,4.4103,0.9998,0,0,1600,SPXW220713P01600000,0.05,0,0,0.05,0,4.3487,0,0,251
Wed Jul 13 2022,SPXW220713C01800000,0,0,2055.8,2057.5,0,3.6861,0.9998,0,0,1800,SPXW220713P01800000,0.07,0,0,0.05,0,3.7865,-0.0001,0,1201
Wed Jul 13 2022,SPXW220713C02000000,0,0,1855.8,1857.5,0,3.4456,0.9997,0,0,2000,SPXW220713P02000000,0.05,0,0,0.05,0,3.2829,-0.0001,0,201
Wed Jul 13 2022,SPXW220713C02200000,0,0,1655.8,1657.5,0,2.8981,0.9997,0,0,2200,SPXW220713P02200000,0.05,0,0,0.05,0,2.8262,-0.0001,0,17
Wed Jul 13 2022,SPXW220713C02400000,0,0,1455.8,1457.5,0,2.3843,0.9996,0,0,2400,SPXW220713P02400000,0.05,0,0,0.05,0,2.4077,-0.0002,0,239
Wed Jul 13 2022,SPXW220713C02600000,0,0,1255.8,1257.5,0,2.1411,0.9996,0,0,2600,SPXW220713P02600000,0.05,0,0,0.05,0,2.0208,-0.0003,0,1140
Wed Jul 13 2022,SPXW220713C02800000,0,0,1055.8,1057.5,0,1.7216,0.9995,0,0,2800,SPXW220713P02800000,0.05,0,0,0.05,0,1.6602,-0.0004,0,631
Wed Jul 13 2022,SPXW220713C02900000,0,0,955.8,957.5,0,1.522,0.9994,0,0,2900,SPXW220713P02900000,0.05,0,0,0.05,0,1.4883,-0.0004,0,439
Wed Jul 13 2022,SPXW220713C03000000,857.33,6.38,855.8,857.5,5,1.3281,0.9993,0,5,3000,SPXW220713P03000000,0.05,0,0,0.05,0,1.3214,-0.0005,0,1370
Wed Jul 13 2022,SPXW220713C03050000,804.65,3.7,805.8,807.3,5,1.2328,0.9993,0,5,3050,SPXW220713P03050000,0.05,0,0,0.05,0,1.2397,-0.0006,0,358
